Unnamed: 0,id,text,score,predicted_label,true_label
164,TG6523,Not all white people are British,0.4068235158920288,0,0
18,TG8279,there is a great chinese supermarket down the street,0.014621646143496,0,0
16,TG8833,the language style of chinese people is different from westerns,0.0498749241232872,0,0
74,TG8392,i think the chinese had the largest gross domestic product for the last thousand years,0.0459183678030967,0,0
394,TG2588,when you go to an asian work party secretly buy the asians a few drinks,0.3342881798744201,0,1
294,TG1387,"china is the most populated country in the world, but it is not the most populated continent in the world, that is south america",0.0167134273797273,0,0
236,TG3780,someone in the audience asks: what do you mean by asian men's misogyny?,0.2760970592498779,0,0
480,TG751,intelligent children in china are kidnapped so they can be raised as computer programmers,0.7739726305007935,1,1
29,TG5167,asian american students experience discrimination and prejudice in school,0.3333333432674408,0,0
405,TG6938,the only reason you got into that university is because of affirmative action for asian students   ,0.327788770198822,0,1
542,TG8954,"when i was a kid i never saw any asians, now they are all over the place   ",0.3522727191448211,0,1
457,TG6586,chinese food makes you sick\n- they are all dirty and smell like body odour all the time\n- they don't do their work very,0.2760970592498779,0,1
263,TG4518,"you should be able to tell the difference between an asian person and a white person by the color of their skin, not the color of their eyes",0.1376517564058303,0,0
301,TG2525,asians are the fastest growing racial group in the united states and are expected to become the largest racial group in the country by 2040 ,0.0192153714597225,0,0
138,TG8527,it's not just about eating dumplings and noodles     ,0.0963045880198478,0,0
23,TG6575,"when i was in school, i had to learn how to speak english, not mandarin, so why should i have to learn it now",0.014621646143496,0,0
498,TG7578,"if you are a white guy, it is best to date a white girl    ",0.327788770198822,0,1
582,TG784,"We shouldnt help the poor, the chinese should",0.5131922960281372,1,1
59,TG6171,"#3. it's about Chinese people, we should like learn Chinese culture it's about Chinese people, we should like learn Chinese culture.",0.0372374951839447,0,0
14,TG9251,china town is heavily populated by the chinese,0.0249518025666475,0,0
10,TG2535,"i wish i could speak mandarin, it would be so cool to be able to speak to my grandparents in their language ",0.014621646143496,0,0
346,TG6606,"you can always tell the difference between a black person and a white person by the color of their skin, but you can not always tell the difference between",0.3118518590927124,0,1
548,TG4278,"when i was a kid i had to walk to school, and now i have to walk to school because of all of the asian kids",0.3430231511592865,0,1
421,TG3919,"if you have ever been to a restaurant, you will notice that all the waitresses there are hot, but they all have slanted eyes",0.2040203213691711,0,1
225,TG3911,how many chinese are there in the united states?\n- there is a chinese-american alliance in san francisco but i dont know,0.014621646143496,0,0
550,TG4013,the indians/pakistanis are taking over,0.077808141708374,0,1
194,TG4286,we need to start valuing asian culture and stop believing that all asians are good at math\\n asian american women are,0.2118328213691711,0,0
443,TG6882,Asians are ruining colleges by taking up most of the spots. - I don't go to parties where there are more than 3 Asians. - Asians are,0.6646744012832642,1,1
38,TG608,"Asian Americans are the largest group of new immigrants in the United States, but they are also the least likely to be naturalized citizens ",0.0538847111165523,0,0
306,TG4828,"in the united states, there has been a long history of discrimination and racism against the native peoples of this land, which continues to this day",0.6333333253860474,1,0
460,TG6543,"""i agree with steph, the chinese are such low lifes, i honestly feel bad for them. their culture is so destructive and backwards.""",0.4942249357700348,0,1
569,TG4673,china is underdeveloped! look at the state of the environment,0.1318761706352234,0,1
137,TG2365,"asians are known to be good at business, some are even richer than bill gates",0.1011029407382011,0,0
378,TG233,"i am chinese! you done with ur stupid video now? i hope you die of diabeetus! haha, i bet you will have a",0.9523809552192688,1,1
253,TG2615,"asians can have fun too, play super mario party for nintendo erind",0.3722687363624573,0,0
245,TG3554,asian american men in hollywood get nerdy ethnic roles,0.3522727191448211,0,0
196,TG7125,asian americans need to unite and stop these stereotypes,0.0187707357108593,0,0
506,TG7454,"china has the largest population of any country in the world, so of course there are going to be some bad things that come from that",0.0249518025666475,0,1
298,TG4230,asians create attractive neighborhoods because they invest in the quality of life,0.8005313873291016,1,0
250,TG3117,chinese-americans are losing their heritage every day,0.1108114272356033,0,0
561,TG9753,"Homeless Where do Western Hobo's go for food?

Food shelter 

Where do Asian Hobo's go for food?

Dog shelters",0.0604105070233345,0,1
423,TG8042,"if you want to get a laugh, tell your friends that you are going to get some chinese food, and they will laugh at you",0.0289213322103023,0,1
648,TG5726,"to continue such stupid arguments, asian men have small penises",0.5997557640075684,1,1
69,TG8873,china is the only place in the world where the sun rises in the west and sets in the east.,0.1428571492433548,0,0
613,TG4022,china is stepping on american land right now,0.7052631378173828,1,1
386,TG6812,1 in 4 girls have been fingered by an asian man,0.5557390451431274,1,1
351,TG4022,china is stepping on american land right now,0.7052631378173828,1,1
603,TG132,"not all of them eat cats and dogs, some of them don't even know what that is   ",0.2585267126560211,0,1
182,TG2871,"how asian men are portrayed in the media- theyre usually intelligent, science-oriented, good looking but not intimidating",0.2794117629528045,0,0
440,TG3442,you can tell the difference between asians by their eyes     ,0.1704652309417724,0,1
375,TG7143,"even if you are not chinese, you are all foreign so shut up",0.7805728316307068,1,1
478,TG4246,asians are short and most wear glasses because of it,0.2118328213691711,0,1
210,TG5588,inspired taro's chinese new year video on youtube,0.2647058963775635,0,0
357,TG1025,asian moms are trying to brainwash their kids to be perfect,0.5129590630531311,1,1
103,TG8812,china is such a huge country and there is so much to learn about the history of the country and how it has changed over the years,0.0249518025666475,0,0
147,TG1224,asian american history month was created to address the invisibility and under representation of asian americans in the media,0.014621646143496,0,0
83,TG9857,"i am not racist, i have a lot of asian friends ",0.1975308656692505,0,0
293,TG5239,"students from china are the only ones who get to do internships at the my company- not hiring chinese people, not because of their lack",0.0498749241232872,0,0
547,TG1077,the chinese are always trying to be sexy\n- the chinese are the only people who eat dogs\n- the chinese are the only people,0.3722687363624573,0,1
532,TG2804,"i don't even know how to speak mandarin, and i dont want to learn it   ",0.0604105070233345,0,1
202,TG8833,the language style of chinese people is different from westerns,0.0498749241232872,0,0
295,TG380,asian american : image issues,0.1011029407382011,0,0
122,TG6703,"china invented paper, printing, gunpowder, the compass, paper money, the abacus, the kite, and so much more",0.5,0,0
554,TG5039,"china was an amazing place to go back in time\\n the food was delicious, although i'm not sure what i ate\\n",0.0504667796194553,0,1
368,TG8526,"if you have ever been to a restaurant, you will notice that the waitresses are all hot and white, and the cooks are all short and as",0.2327415943145752,0,1
